# source_api_id	status	crystal_refs	notes
_signature.py::function::_example_name	missing	-	baseline
_signature.py::function::_extra_hint	missing	-	baseline
_signature.py::function::_extra_is_satisfiable	missing	-	baseline
_signature.py::function::_name_of	missing	-	baseline
_signature.py::function::infer_tool_input_schema	missing	-	baseline
_signature.py::function::validate_handler_signature	missing	-	baseline
behaviors/base.py::class::Behavior	missing	-	baseline
behaviors/base.py::class::LLMBehavior	missing	-	baseline
behaviors/base.py::class::RelationBehavior	missing	-	baseline
behaviors/base.py::function::_llm_behavior_fn_placeholder	missing	-	baseline
behaviors/base.py::method::Behavior.run	missing	-	baseline
behaviors/base.py::method::LLMBehavior.build_prompt	missing	-	baseline
behaviors/base.py::method::RelationBehavior.run	missing	-	baseline
behaviors/decorators.py::function::_validate_output_schema	missing	-	baseline
behaviors/decorators.py::function::behavior	missing	-	baseline
behaviors/decorators.py::function::clear_registry	missing	-	baseline
behaviors/decorators.py::function::get_registry	missing	-	baseline
behaviors/decorators.py::function::llm_behavior	missing	-	baseline
behaviors/decorators.py::function::register	missing	-	baseline
behaviors/decorators.py::function::relation_behavior	missing	-	baseline
behaviors/decorators.py::function::wrap	missing	-	baseline
cli/main.py::const::EXIT_CODES	missing	-	baseline
cli/main.py::const::EXIT_CORRUPTION	missing	-	baseline
cli/main.py::const::EXIT_DIVERGENCE	missing	-	baseline
cli/main.py::const::EXIT_GENERIC_ERROR	missing	-	baseline
cli/main.py::const::EXIT_NOT_FOUND	missing	-	baseline
cli/main.py::const::EXIT_OK	missing	-	baseline
cli/main.py::const::EXIT_USAGE_ERROR	missing	-	baseline
cli/main.py::function::_coerce_cli_value	missing	-	baseline
cli/main.py::function::_event_to_dict	missing	-	baseline
cli/main.py::function::_fallback_text	missing	-	baseline
cli/main.py::function::_list_runs_or_die	missing	-	baseline
cli/main.py::function::_most_recent_run_id_or_die	missing	-	baseline
cli/main.py::function::_open_store_or_die	missing	-	baseline
cli/main.py::function::_pack_names_loaded_through_event	missing	-	baseline
cli/main.py::function::_parse_fork_settings_overrides	missing	-	baseline
cli/main.py::function::_print_behaviors	missing	-	baseline
cli/main.py::function::_print_event	missing	-	baseline
cli/main.py::function::_print_memos	missing	-	baseline
cli/main.py::function::_print_pack_versions	missing	-	baseline
cli/main.py::function::_print_search	missing	-	baseline
cli/main.py::function::_record_fork_settings_overrides	missing	-	baseline
cli/main.py::function::_search_snippet	missing	-	baseline
cli/main.py::function::_set_nested_override	missing	-	baseline
cli/main.py::function::_supports_file_arg	missing	-	baseline
cli/main.py::function::cli	missing	-	baseline
cli/main.py::function::cmd_diff	missing	-	baseline
cli/main.py::function::cmd_export_trace	missing	-	baseline
cli/main.py::function::cmd_fork	missing	-	baseline
cli/main.py::function::cmd_inspect	missing	-	baseline
cli/main.py::function::cmd_migrate	missing	-	baseline
cli/main.py::function::cmd_pack	missing	-	baseline
cli/main.py::function::cmd_pack_list	missing	-	baseline
cli/main.py::function::cmd_pack_new	missing	-	baseline
cli/main.py::function::cmd_promote	missing	-	baseline
cli/main.py::function::cmd_replay	missing	-	baseline
cli/main.py::function::main	missing	-	baseline
cli/quickstart.py::function::_default_prompt	missing	-	baseline
cli/quickstart.py::function::_prepare_interactive_subdir	missing	-	baseline
cli/quickstart.py::function::_print_try_next	missing	-	baseline
cli/quickstart.py::function::_print_what_just_happened	missing	-	baseline
cli/quickstart.py::function::_run_user_behavior	missing	-	baseline
cli/quickstart.py::function::cmd_quickstart	missing	-	baseline
cli/quickstart.py::function::run_fixture_mode	missing	-	baseline
